name,mass_mj,radius_rj,period_days,semi_major_axis_au,temp_k,discovery_method,disc_year,distance_ly,star_mass_solar,star_temp_k,remarks,mass_earth,radius_earth,habitability_score,habitability_label
16 Cygni Bb,2.38,,799.5,1.66,1093.7,radial vel.,1996,68.99,1.04,5750,,756.364,2.32047,40.71812,0
23 Librae b,1.61,,258.18,0.81,1093.7,radial vel.,1999,85.46,1.07,5736,,511.658,2.32047,49.51812,0
47 Ursae Majoris b,2.53,,1078,2.1,1093.7,radial vel.,1996,45.02,1.08,5892,Proper name Taphao Thong,804.034,2.32047,33.11812,0
51 Pegasi b,0.46,,4.230785,0.0527,1093.7,radial vel.,1995,50.45,1.12,5793,Proper name Dimidium; previously informally named Bellerophon. First exoplanet discovered orbiting a main sequence star.,146.188,2.32047,33.37212,0
55 Cancri b,0.8306,,14.65152,0.115227,700,radial vel.,1996,41.06,0.905,5196,Proper name Galileo,263.96468,2.32047,35.12266,0
70 Virginis b,7.49,,116.688,0.481,1093.7,radial vel.,1996,58.42,1.09,5495,,2380.322,2.32047,42.53812,0
109 Piscium b,6.383,,1075.69,2.14,1093.7,radial vel.,1999,108.1,1.11,5600,,2028.5174,2.32047,32.51812,0
Gamma Cephei Ab,1.85,,903.3,2.05,1093.7,radial vel.,1988,44.16,1.4,4744,Proper name Tadmor,587.93,2.32047,26.71812,0
Gliese 86 b,4.42,,15.76491,0.11,1093.7,radial vel.,1999,35.18,0.83,5182,,1404.676,2.32047,33.51812,0
Gliese 876 b,2.2756,,61.1166,0.208317,1093.7,radial vel.,1998,15.25,0.32,3129,,723.18568,2.32047,25.28446,0
HD 75289 b,0.49,,3.50927,0.05,1260,radial vel.,1999,95.05,1.29,6117,,155.722,2.32047,29.91812,0
HD 89744 b,8.35,,256.78,0.917,1093.7,radial vel.,1999,126.2,1.86,6291,,2653.63,2.32047,35.85812,0
HD 130322 b,1.15,,10.70871,0.0925,720,radial vel.,1999,104.1,0.92,5387,Proper name Eiger,365.47,2.32047,34.96812,0
HD 168443 b,7.659,,58.11247,0.2931,1093.7,radial vel.,1998,129.4,0.995,5491,,2434.0302,2.32047,40.48012,0
HD 177830 b,1.69,,410.1,1.14,1093.7,radial vel.,1999,205.1,1.7,4901,,537.082,2.32047,37.91812,0
HD 187123 b,0.523,,3.0965828,0.0426,1093.7,radial vel.,1998,150.1,1,5830,,166.2094,2.32047,35.57012,0
HD 192263 b,0.56,,24.3556,0.15,486,radial vel.,1999,64.08,0.66,4976,Proper name Beirut,177.968,2.32047,37.16812,0
HD 195019 b,3.98,,18.20132,0.14,1093.7,radial vel.,1998,123,1.21,5751,,1264.844,2.32047,33.31812,0
HD 209458 b,0.73,1.39,3.52474859,0.04707,1459,radial vel.,1999,157.8,1.23,6091,Informally named Osiris,231.994,15.5819,16.3414,0
HD 210277 b,1.29,,442.19,1.13,1093.7,radial vel.,1998,69.51,1.01,5538,,409.962,2.32047,51.91812,1
HD 217107 b,1.3,,7.12682,0.08,1093.7,radial vel.,1998,65.47,1,5622,,413.14,2.32047,36.31812,0
HD 222582 b,8.37,~1.12,572.38,1.34,1093.7,radial vel.,1999,137.7,1.12,5790,,2659.986,2.32047,45.51812,0
Iota Horologii b,2.27,,302.8,0.92,1093.7,radial vel.,1999,56.51,0.97,6167,,721.406,2.32047,52.51812,1
PSR B1257+12 b,6.30E-05,,25.262,0.19,1093.7,timing,1994,1361.5,1.4,5600,Proper name Draugr. Least massive exoplanet known.,0.0200214,2.32047,48.5581628,0
PSR B1257+12 c,0.014,,66.5419,0.36,1093.7,timing,1992,1361.5,1.4,5600,Proper name Poltergeist,4.4492,2.32047,47.01972,0
PSR B1257+12 d,0.012,0.13,98.2114,0.46,1093.7,timing,1992,1361.5,1.4,5600,Proper name Phobetor,3.8136,1.4573,53.7436,1
PSR B1620-26 b,2.5,,11.829851,23,1093.7,timing,1993,12400,1.35,5600,Informally named Methuselah. Oldest exoplanet known[3],794.5,2.32047,27.71812,0
Rho Coronae Borealis b,1.045,,39.8458,0.2196,614,radial vel.,1997,57,0.889,5627,Controversial,332.101,2.32047,36.89012,0
Tau Boötis b,5.95,,3.3124568,0.049,1093.7,radial vel.,1996,51.07,1.34,6400,,1890.91,2.32047,28.89812,0
Upsilon Andromedae b,0.6876,~1.8,4.617033,0.059222,1093.7,radial vel.,1996,43.74,1.3,6183,Proper name Saffar,218.51928,2.32047,29.90256,0
Upsilon Andromedae c,1.981,,241.258,0.827774,1093.7,radial vel.,1999,43.74,1.3,6183,Proper name Samh,629.5618,2.32047,45.2736,0
Upsilon Andromedae d,4.132,~1.02,1276.46,2.51329,1093.7,radial vel.,1999,43.74,1.3,6183,Proper name Majriti,1313.1496,2.32047,28.71812,0
1RXS J160929.1-210524 b,8,1.664,11.829851,330,1700,imaging,2008,472.94,0.85,4060,,2542.4,18.65344,17,0
2M1207b,4,,11.829851,46,1150,imaging,2004,210.12,0.02,5600,The first exoplanet discovered around a brown dwarf,1271.2,2.32047,15.11812,0
2MASS J2126-8140,13.3±1.7,,11.829851,6900,1800,imaging,2009,1361.5,0.53,3490,"[2] Ternary star system with red dwarf and (sub-)brown dwarf, found to be planet in 2016",282.842,2.32047,25.31812,0
2MASS J21402931+1625183 b,20.95,0.92,7336.5,0.117,2075,imaging,2009,81.54,0.08,2300,,6657.91,10.3132,3.94,0
4 Ursae Majoris b,7.1,,269.3,0.87,1093.7,radial vel.,2006,239.99,1.23,4415,,2256.38,2.32047,47.51812,0
6 Lyncis b,2.01,,934.3,2.11,1093.7,radial vel.,2008,178.54,1.44,4938,,638.778,2.32047,25.91812,0
11 Comae Berenices b,19.4,,326.03,1.29,1093.7,radial vel.,2007,304.54,2.7,4742,,6165.32,2.32047,28.91812,0
11 Ursae Minoris b,14.74,,516.21997,1.53,1093.7,radial vel.,2009,410.06,2.78,4213,,4684.372,2.32047,24.11812,0
14 Andromedae b,4.8,,185.84,0.83,1093.7,radial vel.,2008,246.55,2.2,4813,Proper name Spe,1525.44,2.32047,31.31812,0
14 Herculis b,4.66,,1773.4,2.93,1093.7,radial vel.,2002,58.51,0.9,5338,[3] Another suspected planet confirmed in 2021.[4],1480.948,2.32047,32.71812,0
14 Herculis c,5.8+1.4−1.0,,11.829851,0.117,1093.7,radial vel.,2005,1361.5,0.9,5600,[4] Suspected since 2005,282.842,2.32047,35.05812,0
18 Delphini b,10.3,,993.3,2.6,1093.7,radial vel.,2008,249.13,2.3,4979,Proper name Arion,3273.34,2.32047,14.71812,0
23 Librae c,0.82,,5000,5.8,1093.7,radial vel.,2009,85.46,1.1,5736,,260.596,2.32047,32.71812,0
30 Arietis Bb,13.82,,335.1,0.99,1093.7,radial vel.,2009,145.83,1.93,6331,,4391.996,2.32047,35.91812,0
41 Lyncis b,2.7,,184.02,0.81,1093.7,radial vel.,2007,280.24,2.1,4753,Proper name Arkas,858.06,2.32047,30.91812,0
42 Draconis b,3.88,,479.1,1.19,1093.7,radial vel.,2008,296.36,0.98,4200,Proper name Orbitar,1233.064,2.32047,50.51812,1
47 Ursae Majoris c,0.54,,2391,3.6,1093.7,radial vel.,2001,45.01,1.03,5892,Proper name Taphao Kaew,171.612,2.32047,34.11812,0
47 Ursae Majoris d,1.64,,14002,11.6,1093.7,radial vel.,2009,45.01,1.03,5892,,521.192,2.32047,34.11812,0
54 Piscium b,0.228,,62.25,0.295,1093.7,radial vel.,2003,36.34,0.8,5221,,72.4584,2.32047,36.61812,0
55 Cancri c,0.1714,,44.4175,0.241376,1093.7,radial vel.,2004,41.06,0.91,5196,Proper name Brahe,54.47092,2.32047,37.74564,0
55 Cancri d,3.878,,4825,5.503,1093.7,radial vel.,2002,41.06,0.91,5196,Proper name Lipperhey,1232.4284,2.32047,32.91812,0
55 Cancri e,0.02542,0.17,0.736539,0.01544,1958,radial vel.,2004,41.06,0.91,5196,Proper name Janssen,8.078476,1.9057,40.729048,0
55 Cancri f,0.141,,262,0.788,1093.7,radial vel.,2007,41.06,0.91,5196,Proper name Harriot,44.8098,2.32047,48.67812,0
61 Virginis b,0.016,,4.215,0.050201,1093.7,radial vel.,2009,27.76,0.94,5577,,5.0848,2.32047,46.35254,0
61 Virginis c,0.057,,38.021,0.2175,1093.7,radial vel.,2009,27.76,0.94,5577,,18.1146,2.32047,37.86812,0
61 Virginis d,0.072,,123.01,0.476,1093.7,radial vel.,2009,27.76,0.94,5577,,22.8816,2.32047,43.03812,0
