Name,mass_mj,radius_rj,period_days,semi_major_axis_au,temp_k,discovery_method,disc_year,distance_ly,star_mass_solar,star_temp_k,remarks,mass_earth,radius_earth,habitability_score,habitability_label
PSR B1257+12 d,0.012,0.13,98.2114,0.46,1093.7,timing,1992,1361.5,1.4,5600,Proper name Phobetor,3.8136,1.4573,3,1
55 Cancri e,0.02542,0.17,0.736539,0.01544,1958,radial vel.,2004,41.06,0.91,5196,Proper name Janssen,8.078476,1.9057,3,1
CoRoT-7b,0.01,0.15,0.85359163,0.017016,1756,transit,2009,523.95,0.82,5275,,3.178,1.6815,3,1
HAT-P-13c,14.28,,446.27,1.258,340,radial vel.,2009,698,1.22,5653,,4538.184,2.32047,3,1
HD 169830 b,2.88,,225.62,0.81,345,radial vel.,2000,122.77,1.4,6299,,915.264,2.32047,3,1
Kepler-10b,0.0145,0.132,0.837491,0.0172,2130,transit,,608.3,0.91,5708,[36],4.6081,1.47972,3,1
Kepler-11b,0.006,0.161,10.3039,0.091,1093.7,transit,,2148,0.96,5663,[38],1.9068,1.80481,3,1
Kepler-18b,0.022,0.178,3.504725,0.0447,1093.7,transit,,1430,0.97,5345,[45],6.9916,1.99538,3,1
Kepler-20b,0.03052,0.167,3.69611525,0.0463,1105,transit,,929.18,0.95,5495,[47],9.699256,1.87207,3,1
Kepler-20e,0.01,0.077,6.09852281,0.0639,1040,transit,,929.18,0.95,5495,[47],3.178,0.86317,3,1
Kepler-21b,0.01598,0.146,2.78578,0.042717,2025,transit,,370,1.41,6305,[48],5.078444,1.63666,3,1
Kepler-22b,0.113,0.212,289.8623,0.849,262,transit,,619.72,0.97,5518,Potentially habitable exoplanet[49],35.9114,2.37652,3,1
Nu2 Lupi b,0.0145,0.132,11.829851,0.117,1093.7,radial vel.,,1361.5,0.97,5600,[21],4.6081,1.47972,3,1
HD 40307 g,0.0223,,197.8,0.6,1093.7,radial vel.,,41.8,0.77,4956,[24],7.08694,2.32047,3,1
Kepler-36b,0.014,0.133,13.83989,0.1153,1093.7,transit,,1500,1.07,5911,[39],4.4492,1.49093,3,1
Kepler-48b,0.0124,0.168,4.778,0.117,1093.7,transit,,1361.5,0.88,5194,[43][44],3.94072,1.88328,3,1
Kepler-60b,0.01318,0.153,7.1334,0.117,1093.7,transit,,1361.5,1.04,5905,[44],4.188604,1.71513,3,1
Kepler-60c,0.01211,0.17,8.9187,0.117,1093.7,transit,,1361.5,1.04,5905,[44],3.848558,1.9057,3,1
Kepler-60d,0.01309,0.178,11.8981,0.117,1093.7,transit,,1361.5,1.04,5905,[44],4.160002,1.99538,3,1
Tau Ceti e,0.0124,,162.87,0.538,1093.7,radial vel.,,12,0.78,5600,[57] Potentially habitable exoplanet,3.94072,2.32047,3,1
Tau Ceti f,0.0124,,636.13,1.334,1093.7,radial vel.,,12,0.78,5600,[57],3.94072,2.32047,3,1
Kepler-37b,0.03146,0.029,13.3675,0.117,1093.7,transit,,220,0.8,5417,[27],9.997988,0.32509,3,1
Kepler-68c,0.02265,0.089,9.60504,0.117,1093.7,transit,,440,1.08,5793,[33],7.19817,0.99769,3,1
Kepler-69c,,0.153,242.4613,0.64,1093.7,transit,,1361.5,0.81,5638,[34][35],282.842,1.71513,3,1
Kepler-78b,0.006,0.105,0.355,0.117,2330,transit,,1361.5,0.76,5058,[39],1.9068,1.17705,3,1
Kepler-87c,0.02,0.548,191.2318,0.676,403,transit,,1361.5,1.1,5600,Two more unconfirmed planets in the system[40],6.356,6.14308,3,1
Kepler-90g,,0.723,210.60697,0.71,340,transit,,2500,1.2,6080,[44],282.842,8.10483,3,1
Kepler-90h,,1.008,331.60059,1.01,292,transit,,2500,1.2,6080,[44],282.842,11.29968,3,1
